@RELATION audio_steganalysis

@ATTRIBUTE zcr REAL
@ATTRIBUTE entropy REAL
@ATTRIBUTE lsb_flipping_ratio REAL
@ATTRIBUTE lsb_flipping_rate REAL
@ATTRIBUTE median REAL
@ATTRIBUTE mean REAL
@ATTRIBUTE rms_amplitude REAL
@ATTRIBUTE short_time_energy REAL
@ATTRIBUTE short_time_average_magnitude REAL
@ATTRIBUTE pitch REAL
@ATTRIBUTE spectral_entropy REAL
@ATTRIBUTE spectral_centriod REAL
@ATTRIBUTE spectral_bandwidth REAL
@ATTRIBUTE spectral_rolloff REAL
@ATTRIBUTE spectral_irregularity REAL
@ATTRIBUTE spectral_variation REAL
@ATTRIBUTE spectral_smoothness REAL
@ATTRIBUTE class {test}

@DATA
240.9627,-2629.0196,922337203685477.6000,0.0000,-0.2254,0.1232,1.5208,5643114.9272,27.3704,1273.1949,-437702.0627,1586.6210,1416.3708,2618.3521,10077.1675,357305.5582,46975.7661,-male
196.1417,-2891.5963,922337203685477.6000,0.0000,0.1158,0.1117,12.7322,745000380.7862,207.3191,905.7886,-4374369.9534,1239.6137,1114.4627,1996.2783,23869.5663,3088988.3580,304398.4445,-male
199.5215,-2675.9481,922337203685477.6000,0.0000,0.0207,0.4141,15.6826,800520768.7541,292.8944,695.3899,-4477487.1340,1342.3224,1220.1954,2396.6842,31672.7411,2378877.7029,418679.8531,-male
204.7653,-2784.2788,922337203685477.6000,0.0000,0.0454,0.0669,9.4945,342498892.7074,160.7398,756.7121,-3442086.3828,1367.4736,1228.6089,2318.1485,21068.7728,2458942.2977,261817.0298,-male
194.8538,-2822.1594,922337203685477.6000,0.0000,0.0112,-0.1972,28.2886,2271160490.9130,494.7358,735.5542,-10689333.0141,1217.0949,1100.2575,2018.7205,41347.7757,6918195.9015,836057.9740,-male
174.0667,-2677.3620,922337203685477.6000,0.0000,-0.1289,-2.5423,24.6424,1510966395.6481,450.9251,668.2692,-8316625.1949,1126.6814,1020.8346,1925.0401,39024.8673,4907819.5525,658786.0797,-male
236.7180,-2633.7216,922337203685477.6000,0.0000,-0.0039,-0.7569,21.6799,1704580691.3895,395.5140,766.7520,-6926373.8749,1285.7453,1156.2975,2189.8822,39348.3492,3264495.5296,644106.8599,-male
169.5213,-2702.9550,922337203685477.6000,0.0000,-0.0202,-0.0951,10.6018,403120850.3098,187.3436,597.8502,-3451712.9824,1198.1889,1091.9986,2098.9860,25470.4592,2299992.0289,305766.3152,-male
189.2574,-2604.2286,922337203685477.6000,0.0000,0.1010,-1.1765,43.6388,6397396858.6761,818.5976,561.6233,-15155088.2662,1195.0833,1092.7237,2085.1382,53018.6294,7670849.7905,1222075.9098,-male
187.0623,-2668.5909,922337203685477.6000,0.0000,-0.1019,-0.4054,17.0893,915001932.7003,308.2213,538.8497,-5881375.7144,1232.7978,1123.5009,2172.8174,32005.8476,3639844.6170,480296.7841,-male
226.6414,-2591.9512,922337203685477.6000,0.0000,-0.7642,-0.0826,14.8295,1038883507.3810,270.8570,985.9683,-4860913.6259,1381.6801,1240.9554,2298.8281,27632.0883,2656348.4795,432948.9183,-male
229.1705,-2646.4314,922337203685477.6000,0.0000,-0.9030,0.1000,30.5590,3268884681.8661,557.7524,768.6219,-11291859.6493,1377.9212,1245.9318,2388.7039,41041.5771,6475782.2810,891662.7498,-male
216.6941,-2459.8026,922337203685477.6000,0.0000,-0.2051,-1.6849,8.5974,288778498.2024,161.2284,810.3927,-2146825.8983,1459.8465,1312.2355,2556.6663,21111.0376,1300363.4395,184023.7182,-male
156.1645,-2646.2071,922337203685477.6000,0.0000,0.0322,-1.1991,8.4899,248127676.8627,152.6331,378.4951,-3058758.9982,1173.3108,1085.1770,2256.2963,22219.9427,1815673.4211,269440.7176,-male
185.8925,-2584.0757,922337203685477.6000,0.0000,-0.3781,-1.0683,31.1330,3855189147.1982,590.3476,667.3198,-8685788.7512,1302.6124,1183.2781,2375.3817,39036.4351,4637286.5969,659688.3341,-male
256.8909,-2741.0645,922337203685477.6000,0.0000,0.1216,-0.2759,19.9757,1235824894.1767,358.7701,1037.2633,-6843323.3389,1338.5382,1194.7123,2065.4356,32795.9445,4618796.7309,533243.1654,-male
218.5245,-2703.1007,922337203685477.6000,0.0000,1.3607,0.3540,11.6815,518255753.3493,194.9334,495.3562,-4879782.6614,1378.4133,1255.6344,2479.6493,25838.4869,3273583.2121,413723.9116,-male
